mean_distance,number_of_days,user_type
7.81,31,Intermediate Level
3.91,31,Beginner Level
5.30,30,Intermediate Level
1.71,31,Beginner Level
0.63,31,Beginner Level
8.08,31,Pro level
3.45,31,Beginner Level
3.19,31,Beginner Level
6.36,18,Intermediate Level
5.10,31,Intermediate Level
4.71,20,Beginner Level
7.52,30,Intermediate Level
1.63,31,Beginner Level
2.86,4,Beginner Level
4.89,31,Beginner Level
8.39,31,Pro level
3.25,31,Beginner Level
5.08,31,Intermediate Level
6.96,31,Intermediate Level
5.64,31,Intermediate Level
6.21,30,Intermediate Level
5.34,28,Intermediate Level
4.27,29,Beginner Level
1.81,26,Beginner Level
6.59,31,Intermediate Level
8.02,26,Pro level
6.39,31,Intermediate Level
11.48,31,Pro level
4.67,19,Beginner Level
6.91,31,Intermediate Level
5.62,31,Intermediate Level
1.19,29,Beginner Level
13.21,31,Pro level
