sedentary_minutes,lightly_minutes,fairly_active_minutes,very_active_minutes,calories,user_type
783,231,0,0,2181,Beginner Level
1231,199,8,2,1793,Beginner Level
676,168,55,29,1590,Pro level
695,199,54,115,4005,Pro level
663,238,0,0,1521,Beginner Level
1192,213,7,28,1835,Intermediate Level
1430,10,0,0,2093,Beginner Level
1021,330,31,58,2976,Pro level
1191,206,23,20,1780,Beginner Level
1066,304,17,53,2812,Pro level
732,235,20,37,3014,Intermediate Level
1067,373,0,0,1962,Intermediate Level
1136,114,51,61,2743,Intermediate Level
993,340,10,18,2225,Intermediate Level
542,281,95,15,3538,Pro level
721,21,0,0,1120,Beginner Level
1150,290,0,0,1899,Beginner Level
1328,112,0,0,1359,Beginner Level
835,206,11,46,1819,Intermediate Level
241,68,0,0,1240,Beginner Level
1355,70,1,14,2411,Beginner Level
712,217,34,52,1947,Pro level
765,216,8,1,2784,Beginner Level
1315,125,0,0,2430,Beginner Level
484,347,41,58,2571,Pro level
555,329,12,3,2260,Intermediate Level
720,268,0,0,1431,Intermediate Level
716,225,0,0,2180,Beginner Level
1204,236,0,0,1572,Intermediate Level
745,241,5,8,3006,Intermediate Level
1322,118,0,0,2489,Beginner Level
1260,117,3,60,2655,Pro level
1135,305,0,0,2383,Intermediate Level
655,313,39,18,2162,Pro level
1320,120,0,0,1589,Beginner Level
1135,305,0,0,2806,Beginner Level
600,205,58,11,1529,Intermediate Level
1190,223,25,2,2284,Intermediate Level
1440,0,0,0,1819,Beginner Level
1106,177,71,5,2804,Intermediate Level
814,216,14,73,2013,Pro level
469,408,66,9,3691,Pro level
1313,82,4,41,1976,Intermediate Level
1113,195,21,111,3213,Pro level
986,379,24,51,3055,Pro level
784,235,41,10,3069,Intermediate Level
836,67,0,0,1593,Beginner Level
1153,287,0,0,2743,Beginner Level
552,359,8,13,2367,Intermediate Level
1096,197,29,15,1918,Intermediate Level
1148,274,3,15,1867,Beginner Level
752,228,0,0,1985,Beginner Level
1400,40,0,0,1403,Beginner Level
1201,228,11,0,1811,Beginner Level
1288,152,0,0,1427,Beginner Level
