average_sedentary,average_light,average_faire,average_active,user_type
1112.87,234.71,9.94,66.06,Pro level
1148.00,150.97,9.58,85.16,Pro level
836.68,229.35,20.35,23.16,Pro level
1112.58,257.45,19.35,36.29,Pro level
1055.35,280.73,16.27,31.04,Pro level
848.16,219.94,19.16,38.71,Intermediate Level
707.53,174.77,61.27,18.90,Intermediate Level
766.42,237.48,26.03,5.13,Intermediate Level
716.13,156.10,10.26,58.68,Intermediate Level
662.32,245.81,18.52,22.81,Intermediate Level
850.45,143.84,25.35,42.58,Intermediate Level
687.17,252.50,20.56,13.50,Intermediate Level
754.43,147.93,29.83,87.33,Intermediate Level
668.35,206.19,13.00,23.42,Intermediate Level
1267.23,138.29,22.19,9.68,Intermediate Level
796.29,288.36,2.04,1.57,Intermediate Level
1161.87,178.47,21.37,9.57,Intermediate Level
1097.19,308.00,6.13,14.10,Intermediate Level
1093.61,284.97,13.71,10.39,Intermediate Level
735.81,228.77,12.32,3.58,Beginner Level
1077.55,327.90,4.10,9.15,Beginner Level
1287.37,116.89,14.32,20.53,Beginner Level
1193.03,227.45,3.79,2.76,Beginner Level
1257.74,153.48,5.81,8.68,Beginner Level
689.42,256.65,0.26,0.10,Beginner Level
829.90,209.10,1.74,6.61,Beginner Level
1220.10,198.19,2.58,1.35,Beginner Level
1217.25,103.00,1.50,0.75,Beginner Level
1299.42,40.15,14.81,11.00,Beginner Level
1206.61,115.45,1.29,0.13,Beginner Level
1237.26,76.94,5.35,5.19,Beginner Level
1060.48,91.79,4.03,0.97,Beginner Level
1317.42,38.58,0.77,1.32,Beginner Level
