sleep_hours,distance,date,user_type
4.40,8.50,4/12/2016,Pro level
4.57,8.50,4/12/2016,Pro level
4.93,8.50,4/12/2016,Pro level
5.10,8.50,4/12/2016,Pro level
5.15,8.50,4/12/2016,Pro level
5.33,8.50,4/12/2016,Pro level
5.38,8.50,4/12/2016,Pro level
5.70,8.50,4/12/2016,Pro level
5.77,8.50,4/12/2016,Pro level
5.82,8.50,4/12/2016,Pro level
5.90,8.50,4/12/2016,Pro level
6.07,8.50,4/12/2016,Pro level
6.12,8.50,4/12/2016,Pro level
6.28,8.50,4/12/2016,Pro level
6.40,8.50,4/12/2016,Pro level
6.55,8.50,4/12/2016,Pro level
6.60,8.50,4/12/2016,Pro level
6.72,8.50,4/12/2016,Pro level
6.78,8.50,4/12/2016,Pro level
7.08,8.50,4/12/2016,Pro level
7.37,8.50,4/12/2016,Pro level
7.48,8.50,4/12/2016,Pro level
10.18,8.50,4/12/2016,Pro level
11.87,8.50,4/12/2016,Pro level
2.12,7.77,4/12/2016,Intermediate Level
2.37,7.77,4/12/2016,Intermediate Level
2.57,7.77,4/12/2016,Intermediate Level
16.02,7.77,4/12/2016,Intermediate Level
16.02,4.43,4/12/2016,Beginner Level
2.97,0.47,4/12/2016,Beginner Level
5.25,0.47,4/12/2016,Beginner Level
7.03,0.47,4/12/2016,Beginner Level
8.32,0.47,4/12/2016,Beginner Level
12.92,0.47,4/12/2016,Beginner Level
6.33,2.74,4/12/2016,Beginner Level
8.08,2.74,4/12/2016,Beginner Level
8.30,2.74,4/12/2016,Beginner Level
8.50,2.74,4/12/2016,Beginner Level
8.57,2.74,4/12/2016,Beginner Level
8.68,2.74,4/12/2016,Beginner Level
8.85,2.74,4/12/2016,Beginner Level
9.00,2.74,4/12/2016,Beginner Level
9.05,2.74,4/12/2016,Beginner Level
9.08,2.74,4/12/2016,Beginner Level
9.10,2.74,4/12/2016,Beginner Level
9.13,2.74,4/12/2016,Beginner Level
9.22,2.74,4/12/2016,Beginner Level
9.23,2.74,4/12/2016,Beginner Level
9.27,2.74,4/12/2016,Beginner Level
9.33,2.74,4/12/2016,Beginner Level
9.42,2.74,4/12/2016,Beginner Level
9.45,2.74,4/12/2016,Beginner Level
9.47,2.74,4/12/2016,Beginner Level
9.55,2.74,4/12/2016,Beginner Level
9.85,2.74,4/12/2016,Beginner Level
10.12,2.74,4/12/2016,Beginner Level
1.15,7.49,4/12/2016,Intermediate Level
6.43,6.83,4/12/2016,Intermediate Level
7.50,6.83,4/12/2016,Intermediate Level
7.65,6.83,4/12/2016,Intermediate Level
7.68,6.83,4/12/2016,Intermediate Level
7.85,6.83,4/12/2016,Intermediate Level
7.88,6.83,4/12/2016,Intermediate Level
8.07,6.83,4/12/2016,Intermediate Level
8.15,6.83,4/12/2016,Intermediate Level
8.17,6.83,4/12/2016,Intermediate Level
8.32,6.83,4/12/2016,Intermediate Level
